2025-10-17 15:13:26,749 | INFO | __main__ | 실행 컨텍스트: run_20251017T061326Z
2025-10-17 15:13:26,750 | INFO | __main__ | 대상 PDF: data\raw\sample_ddr5.pdf
2025-10-17 15:13:26,750 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 01_extraction
2025-10-17 15:13:26,752 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 01_extraction
2025-10-17 15:13:26,752 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 02_chunking
2025-10-17 15:13:26,754 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 02_chunking
2025-10-17 15:13:26,754 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 03_llm_summarization
2025-10-17 15:13:26,755 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 03_llm_summarization
2025-10-17 15:13:26,755 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 04_requirements
2025-10-17 15:13:26,756 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 04_requirements
2025-10-17 15:13:26,756 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 05_outputs
2025-10-17 15:13:26,760 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 05_outputs
2025-10-17 15:34:17,815 | INFO | __main__ | 실행 컨텍스트: run_20251017T063417Z
2025-10-17 15:34:17,816 | INFO | __main__ | 대상 PDF: data\raw\sample_ddr5.pdf
2025-10-17 15:34:17,816 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 01_extraction
2025-10-17 15:34:17,819 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 01_extraction
2025-10-17 15:34:17,819 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 02_chunking
2025-10-17 15:34:17,821 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 02_chunking
2025-10-17 15:34:17,821 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 03_llm_summarization
2025-10-17 15:34:17,821 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 03_llm_summarization
2025-10-17 15:34:17,821 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 04_requirements
2025-10-17 15:34:17,822 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 04_requirements
2025-10-17 15:34:17,822 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 05_outputs
2025-10-17 15:34:17,827 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 05_outputs
2025-10-17 16:12:09,564 | INFO | __main__ | 실행 컨텍스트: run_20251017T071209Z
2025-10-17 16:12:09,564 | INFO | __main__ | 대상 PDF: data\raw\sample_ddr5.pdf
2025-10-17 16:12:09,564 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 01_extraction
2025-10-17 16:12:09,564 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 01_extraction
2025-10-17 16:12:41,969 | INFO | __main__ | 실행 컨텍스트: run_20251017T071241Z
2025-10-17 16:12:41,976 | INFO | __main__ | 대상 PDF: data\raw\sample_ddr5.pdf
2025-10-17 16:12:41,976 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 01_extraction
2025-10-17 16:12:41,977 | WARNING | vai_plan.extractors | PyMuPDF 미설치로 pdfplumber 텍스트 추출 fallback 수행 (data\raw\sample_ddr5.pdf)
2025-10-17 16:13:30,744 | WARNING | vai_plan.extractors | Camelot 표 추출 실패, pdfplumber로 fallback (data\raw\sample_ddr5.pdf): No module named 'camelot'
2025-10-17 16:14:28,741 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 01_extraction
2025-10-17 16:14:28,741 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 02_chunking
2025-10-17 16:14:28,749 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 02_chunking
2025-10-17 16:14:43,675 | INFO | __main__ | 실행 컨텍스트: run_20251017T071443Z
2025-10-17 16:14:43,676 | INFO | __main__ | 대상 PDF: data\raw\sample_ddr5.pdf
2025-10-17 16:14:43,676 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 01_extraction
2025-10-17 16:14:43,676 | WARNING | vai_plan.extractors | PyMuPDF 미설치로 pdfplumber 텍스트 추출 fallback 수행 (data\raw\sample_ddr5.pdf)
2025-10-17 16:15:30,656 | WARNING | vai_plan.extractors | Camelot 표 추출 실패, pdfplumber로 fallback (data\raw\sample_ddr5.pdf): No module named 'camelot'
2025-10-17 16:16:24,090 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 01_extraction
2025-10-17 16:16:24,090 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 02_chunking
2025-10-17 16:16:24,617 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 02_chunking
2025-10-17 16:16:24,618 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 03_llm_summarization
2025-10-17 16:16:24,642 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 03_llm_summarization
2025-10-17 16:16:24,642 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 04_requirements
2025-10-17 16:16:24,669 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 04_requirements
2025-10-17 16:16:24,669 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 05_outputs
2025-10-17 16:16:27,961 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 05_outputs
2025-10-27 09:14:07,063 | INFO | __main__ | 실행 컨텍스트: run_20251027T001407Z
2025-10-27 09:14:07,063 | INFO | __main__ | 대상 PDF: data\raw\sample_ddr5.pdf
2025-10-27 09:14:07,063 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 01_extraction
2025-10-27 09:16:30,073 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 01_extraction
2025-10-27 09:16:30,073 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 02_chunking
2025-10-27 09:16:30,613 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 02_chunking
2025-10-27 09:16:30,613 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 03_llm_summarization
2025-10-27 09:16:30,643 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 03_llm_summarization
2025-10-27 09:16:30,643 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 04_requirements
2025-10-27 09:16:30,675 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 04_requirements
2025-10-27 09:16:30,676 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 05_outputs
2025-10-27 09:16:31,654 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 05_outputs
2025-10-27 09:17:43,349 | INFO | __main__ | 실행 컨텍스트: run_20251027T001743Z
2025-10-27 09:17:43,350 | INFO | __main__ | 대상 PDF: data\raw\sample_ddr5.pdf
2025-10-27 09:17:43,350 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 01_extraction
2025-10-27 09:20:02,852 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 01_extraction
2025-10-27 09:20:02,852 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 02_chunking
2025-10-27 09:20:03,405 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 02_chunking
2025-10-27 09:20:03,406 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 03_llm_summarization
2025-10-27 09:20:03,436 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 03_llm_summarization
2025-10-27 09:20:03,436 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 04_requirements
2025-10-27 09:20:03,470 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 04_requirements
2025-10-27 09:20:03,471 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 05_outputs
2025-10-27 09:20:04,424 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 05_outputs
2025-10-27 16:37:57,454 | INFO | __main__ | 실행 컨텍스트: run_20251027T073757Z
2025-10-27 16:37:57,454 | INFO | __main__ | 대상 PDF: data\raw\sample_ddr5.pdf
2025-10-27 16:37:57,454 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 01_extraction
2025-10-27 16:40:23,765 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 01_extraction
2025-10-27 16:40:23,765 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 02_chunking
2025-10-27 16:40:24,322 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 02_chunking
2025-10-27 16:40:24,324 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 03_llm_summarization
2025-10-27 16:40:24,354 | INFO | vai_plan.logging_utils | ✅ Stage 완료: 03_llm_summarization
2025-10-27 16:40:24,355 | INFO | vai_plan.logging_utils | ▶️  Stage 시작: 04_requirements
